project,type,my_role,status,journal,part_of,supervisors,collaborators,labs
MSc,core,mine,current,,"Schoeneae ecology, evolution and genome-size; Cyperaceae systematics",Muasya; West; Verboom,,Muasya
Cape vs SWA,core,mine,current,Journal of Biogeography,"GCFR biodiversity, macroecology and biogeography",Verboom; Cramer,Verboom,Verboom; Cramer
Tetraria scariosa (part of nomenclatural/taxonomic note),side,mine,soon,Phytotaxa,Cyperaceae systematics,Muasya; Elliott,Elliott,Muasya
Cape Schoenus phylogeny & classification,side-core,coauthor,current,South African Journal of Botany,"Schoeneae ecology, evolution and genome-size; Cyperaceae systematics",Muasya; Elliott,Elliott; Muthapuli,Muasya
Pseudovivipary in Cyperaceae,side,coauthor,maybe,,Cyperaceae systematics,,Elliott,Muasya
Helichrysum sex systems,side,coauthor?,maybe,,,Verboom; Bergh,Shaik,Verboom; Bergh
GCFR soils,,assistant,done,Diversity & Distributions,"GCFR biodiversity, macroecology and biogeography",Cramer; Verboom,Wootton,Cramer; Verboom
Topography and GCFR soils,,helped,done,,"GCFR biodiversity, macroecology and biogeography",Cramer; Verboom,Kirsten,Cramer; Verboom
"""Land cover change homogenizes functional and phylogenetic diversity within and among African savanna bird assemblages""",,helped,done,Landscape Ecology,,Slingsby; Thomson; Coetzee,Weideman,Fitz
Schoeneae Veld & Flora article,,coauthor,done,Veld & Flora,"Schoeneae ecology, evolution and genome-size; Cyperaceae systematics",Muasya; Elliott,Elliott; Muasya; Laidler; Muthapuli,Muasya
Liesbeek River isotopics,,collaborator,done,Water SA,,West,"Smyth, Weideman",West
